price,community,layout,perprice,region,area,payment,year,orientation,type,floor,renovation,elevator
62.8,金科集美天宸,3室2厅2卫,5981,"市中区－城西－甜城大道,近汉渝大道",105,18.84,2019,南北,普通住宅,低层(共28层),毛坯,有
57,新华维港城,3室2厅2卫,5816,市中区－城西－石羊大道北段222号,98,17.1,2020,南北,普通住宅,低层(共26层),精装修,有
80,金山国际,3室2厅2卫,6557,东兴区－新六中－晨望路8号,122,24,2010,南北,普通住宅,低层(共28层),精装修,有
69.8,万晟城峰景,3室2厅1卫,8982,东兴区－三湾路－汉安大道东段111号,77.7,20.94,2014,南,普通住宅,低层(共29层),精装修,有
120,西湖郦景,3室2厅2卫,10000,"隆昌市－隆昌城区－隆华路,近万隆路",120,36,2016,南北,普通住宅,低层(共27层),精装修,有
75.8,北关新城和坊,3室2厅1卫,7431,隆昌市－隆昌城区－大北街121号,102,22.74,2012,南北,普通住宅,低层(共28层),精装修,有
61.8,江城花园,3室2厅2卫,6059,市中区－城西－江华街6号,102,18.54,2012,南北,普通住宅,低层(共26层),精装修,有
63.8,雄飞国际新城,3室2厅1卫,6380,"威远县－威远城区－东风北路,近小河东路",100,19.14,2016,南北,普通住宅,低层(共28层),精装修,有
78.2,翡翠国际社区,3室2厅1卫,8937,东兴区－东兴－汉安大道西段927号,87.5,23.46,2014,南北,普通住宅,低层(共26层),精装修,有
69.8,现代国际,3室2厅2卫,7122,资中县－资中城区－资州大道南一段46号,98,20.94,2015,南北,普通住宅,低层(共29层),精装修,有
66.8,金山一品,3室2厅2卫,6614,"资中县－资中城区－资州大道,近抚琴街",101,20.04,2015,南北,普通住宅,低层(共29层),精装修,有
63.8,海棠雅居,3室2厅2卫,7550,东兴区－月儿湾－大千路869号,84.5,19.14,2008,南北,普通住宅,低层(共25层),精装修,有
62.8,现代国际,3室2厅2卫,6299,资中县－资中城区－资州大道南一段46号,99.7,18.84,2011,南北,普通住宅,低层(共28层),精装修,有
65.8,金山一品,3室2厅2卫,6515,"资中县－资中城区－资州大道,近抚琴街",101,19.74,2014,南北,普通住宅,低层(共28层),精装修,有
103,天成国际,3室2厅2卫,9626,东兴区－东兴－兴盛路东段485号,107,30.9,2016,南北,普通住宅,低层(共28层),精装修,有
85,金科公园王府,3室2厅1卫,9884,"东兴区－新六中－大千路,近玉屏街",86,25.5,2013,南北,普通住宅,低层(共28层),精装修,有
55.8,锦华都,2室2厅1卫,7440,东兴区－月儿湾－汉安大道东段888号,75,16.74,2015,南北,普通住宅,低层(共28层),精装修,有
54.8,万晟城华府,2室2厅1卫,6859,"东兴区－月儿湾－汉安大道,近321国道",79.9,16.44,2015,南北,普通住宅,低层(共28层),精装修,有
38,荣威尚景,2室2厅1卫,5196,"威远县－威远城区－二环路,近顺城街",73.1,11.4,2016,南北,普通住宅,低层(共28层),精装修,有
56.8,邦泰国际公馆(东区),2室2厅1卫,8875,"东兴区－新六中－大千路,近北环路",64,17.04,2017,南北,普通住宅,低层(共28层),精装修,有
78,御都花园,3室2厅2卫,7443,资中县－资中城区－春岚北路,104.8,23.4,2013,南,普通住宅,低层(共26层),精装修,有
53.8,御都花园,3室2厅2卫,5878,资中县－资中城区－春岚北路,91.5,16.14,2019,南北,普通住宅,中层(共26层),毛坯,有
40.8,农业局宿舍,3室2厅1卫,3778,资中县－资中城区－花圃街202号,108,12.24,2010,南北,普通住宅,低层(共8层),精装修,无
53.6,御都花园,3室2厅1卫,6233,资中县－资中城区－春岚北路,86,16.08,2017,南北,普通住宅,高层(共26层),毛坯,有
59.8,和喜御景台,3室2厅2卫,6165,"市中区－城西－甜城大道中段,近安居街",97,17.94,2019,南北,普通住宅,低层(共11层),毛坯,有
51.8,御都花园,3室2厅1卫,6094,资中县－资中城区－春岚北路,85,15.54,2019,南北,普通住宅,高层(共26层),毛坯,有
68.8,御都花园,3室2厅2卫,7560,资中县－资中城区－春岚北路,91,20.64,2018,南北,普通住宅,中层(共27层),精装修,有
46,御都花园,3室2厅1卫,5412,资中县－资中城区－春岚北路,85,13.8,2018,东,普通住宅,低层(共26层),毛坯,有
58.8,御都花园,3室2厅2卫,6504,资中县－资中城区－春岚北路,90.4,17.64,2017,南北,普通住宅,中层(共27层),毛坯,有
80.8,御都花园,3室2厅2卫,7845,资中县－资中城区－春岚北路,103,24.24,2018,南北,普通住宅,中层(共27层),豪华装修,有
75.8,御都花园,3室2厅2卫,7345,资中县－资中城区－春岚北路,103.2,22.74,2017,南北,普通住宅,低层(共27层),精装修,有
53.6,御都花园,3室2厅1卫,6306,资中县－资中城区－春岚北路,85,16.08,2017,南北,普通住宅,低层(共26层),毛坯,有
39.8,农业局宿舍,3室2厅1卫,3685,资中县－资中城区－花圃街202号,108,11.94,2000,南北,普通住宅,低层(共8层),精装修,无
45.8,兴隆小区二期,3室2厅1卫,5388,"东兴区－三湾路－五星路,近兴隆路",85,13.74,2014,南北,普通住宅,低层(共6层),精装修,无
47.8,御都花园,3室2厅1卫,5624,资中县－资中城区－春岚北路,85,14.34,2019,南北,普通住宅,低层(共28层),毛坯,有
69.8,凤凰城,3室2厅2卫,7587,"资中县－资中城区－321国道,近资州大道",92,20.94,2016,南北,普通住宅,低层(共28层),豪华装修,有
56,百庆小区,3室2厅1卫,5185,隆昌市－隆昌城区－康复中路603号,108,16.8,1999,南北,普通住宅,低层(共7层),精装修,无
74.8,凯利翡翠园,3室2厅2卫,7446,"资中县－资中城区－和鸣大道,近东大道二段",100.5,22.44,2014,南北,普通住宅,低层(共11层),精装修,有
77.7,花满庭,3室2厅2卫,7262,东兴区－新六中－汉安大道西380号,107,23.31,2010,东南,普通住宅,高层(共28层),精装修,有
68.8,御都花园,3室2厅2卫,7560,资中县－资中城区－春岚北路,91,20.64,2017,南北,普通住宅,中层(共27层),精装修,有
83.8,南河半岛,3室2厅2卫,8136,隆昌市－隆昌城区－青年路,103,25.14,2017,南北,普通住宅,低层(共25层),精装修,有
67.2,广汇城市花园,3室2厅2卫,5053,东兴区－月儿湾－三号路666号,133,20.16,2007,南北,普通住宅,低层(共6层),精装修,无
71.8,凤凰城,3室2厅2卫,7305,"资中县－资中城区－321国道,近资州大道",98.3,21.54,2014,南北,普通住宅,低层(共33层),精装修,有
76.8,花满庭,3室2厅2卫,7918,东兴区－新六中－汉安大道西380号,97,23.04,2015,南北,普通住宅,高层(共26层),精装修,有
45.8,新华路东三巷30号院,3室2厅1卫,4771,市中区－城西－新华路东三巷30号,96,13.74,2001,南北,普通住宅,低层(共6层),精装修,无
68.8,金山晶座,3室2厅1卫,7818,资中县－资中城区－滨江西路236号,88,20.64,2015,东,普通住宅,低层(共30层),精装修,有
59.8,西城时代,3室2厅1卫,6719,市中区－城西－甜城大道505号,89,17.94,2017,南北,普通住宅,低层(共27层),精装修,有
59,玉都花园A区,3室2厅2卫,4275,东兴区－新六中－兴盛路西段156号,138,17.7,2008,南北,普通住宅,低层(共6层),精装修,无
53.8,蜀阳花园,3室2厅2卫,6482,资中县－资中城区－桂花街188号,83,16.14,2012,南北,普通住宅,低层(共7层),精装修,无
79.8,海棠雅居,3室2厅2卫,8061,东兴区－月儿湾－大千路869号,99,23.94,2016,南北,普通住宅,中层(共25层),精装修,有
54.8,万晟城华府,2室2厅1卫,6859,"东兴区－月儿湾－汉安大道,近321国道",79.9,16.44,2015,南北,普通住宅,低层(共28层),精装修,有
58.8,御都花园,3室2厅2卫,6487,资中县－资中城区－春岚北路,90.6,17.64,2019,南北,普通住宅,中层(共27层),毛坯,有
53.6,御都花园,3室2厅1卫,6233,资中县－资中城区－春岚北路,86,16.08,2017,南北,普通住宅,高层(共26层),毛坯,有
67.2,广汇城市花园,3室2厅2卫,5053,东兴区－月儿湾－三号路666号,133,20.16,2005,南北,普通住宅,低层(共7层),精装修,无
71.8,凤凰城,3室2厅2卫,7305,"资中县－资中城区－321国道,近资州大道",98.3,21.54,2014,南北,普通住宅,低层(共33层),精装修,有
53.6,御都花园,3室2厅1卫,6233,资中县－资中城区－春岚北路,86,16.08,2017,南北,普通住宅,高层(共26层),毛坯,有
67.2,广汇城市花园,3室2厅2卫,5053,东兴区－月儿湾－三号路666号,133,20.16,2008,南北,普通住宅,低层(共6层),精装修,无
53.6,御都花园,3室2厅1卫,6233,资中县－资中城区－春岚北路,86,16.08,2018,南北,普通住宅,中层(共25层),精装修,有
79.6,北关新城和坊,3室2厅1卫,7728,隆昌市－隆昌城区－大北街121号,103,23.88,2012,南北,普通住宅,低层(共28层),精装修,有
64,兆信花千谷,3室2厅1卫,7273,"东兴区－月儿湾－汉安大道,近大千路",88,19.2,2015,南北,普通住宅,中层(共27层),精装修,有
78,江语丽府,3室2厅2卫,6341,资中县－资中城区－滨江东路399号,123,23.4,2014,南北,普通住宅,高层(共28层),毛坯,有
62.8,祥和港都,3室2厅1卫,6408,市中区－城西－双苏路323号,98,18.84,2012,南北,普通住宅,中层(共24层),精装修,有
78,北关新城和坊,3室2厅1卫,7573,隆昌市－隆昌城区－大北街121号,103,23.4,2015,南北,普通住宅,低层(共28层),精装修,有
79.8,海棠雅居,3室2厅2卫,9500,东兴区－月儿湾－大千路869号,84,23.94,2012,南北,普通住宅,中层(共28层),精装修,有
62.8,时代晶座,3室2厅1卫,6356,资中县－资中城区－城南东大道,98.8,18.84,2017,南北,普通住宅,高层(共17层),精装修,有
63.8,誉峰小区,3室2厅2卫,5907,威远县－威远城区－外北路东段,108,19.14,2012,南北,普通住宅,中层(共28层),精装修,有
56.8,天成国际,3室2厅2卫,6108,东兴区－东兴－兴盛路东段485号,93,17.04,2016,南北,普通住宅,中层(共30层),毛坯,有
62.8,财富国际,3室2厅2卫,7040,"资中县－资中城区－资州大道,近祥云街",89.2,18.84,2015,东西,普通住宅,中层(共31层),精装修,有
70.6,花满庭,3室2厅2卫,9051,东兴区－新六中－汉安大道西380号,78,21.18,2010,南北,普通住宅,高层(共26层),精装修,有
70.8,汉安国际,3室2厅2卫,5950,东兴区－月儿湾－汉安大道西128号,119,21.24,2010,南北,普通住宅,高层(共28层),精装修,有
49.8,浩盛甜城印象,3室2厅1卫,5134,"市中区－城西－甜城大道,近汉渝大道",97,14.94,2018,南北,普通住宅,高层(共26层),毛坯,有
57.8,船锦城南1号,3室2厅2卫,6352,资中县－资中城区－资州大道南二段36号,91,17.34,2015,南北,普通住宅,低层(共27层),精装修,有
104,西湖逸品,3室2厅2卫,8830,隆昌市－隆昌城区－隆华路一段51号,117.8,31.2,2015,南北,普通住宅,低层(共28层),豪华装修,有
69.8,邦泰国际公馆(西区),3室2厅1卫,9694,东兴区－新六中－北环路888号,72,20.94,2014,南北,普通住宅,中层(共27层),精装修,有
69.8,金石广场,3室2厅2卫,5453,"东兴区－新六中－西林大道,近北环路",128,20.94,2011,南,普通住宅,高层(共28层),豪华装修,有
58,花满庭,3室2厅1卫,7296,东兴区－新六中－汉安大道西380号,79.5,17.4,2012,南北,普通住宅,中层(共25层),精装修,有
78.8,海棠雅居,3室2厅2卫,9381,东兴区－月儿湾－大千路869号,84,23.64,2012,南,普通住宅,中层(共25层),精装修,有
61.8,荷香苑,3室2厅2卫,5237,市中区－城西－双苏路269号,118,18.54,2014,南,普通住宅,中层(共29层),精装修,有
65.8,金科翡翠公园,3室2厅2卫,6267,"东兴区－三湾路－321国道,近汉安大道",105,19.74,2019,南北,普通住宅,中层(共30层),毛坯,有
65.9,甜城国际社区B区,3室2厅2卫,6276,市中区－城西－南鞍路,105,19.77,2019,南北,普通住宅,中层(共25层),精装修,有
43.8,远达世纪城,3室2厅2卫,4854,资中县－资中城区－凤鸣路,90.2,13.14,2020,南北,普通住宅,高层(共23层),毛坯,有
69.6,鸿通春天江与城,3室2厅1卫,9495,"东兴区－东兴－兰桂大道,近北环路",73.3,20.88,2016,南北,普通住宅,中层(共33层),精装修,有
62.8,邦泰大观府,3室2厅2卫,7753,"东兴区－三湾路－双凤路,近兰桂大道",81,18.84,2019,南北,普通住宅,高层(共18层),毛坯,有
53,金科集美天宸,3室2厅2卫,5699,"市中区－城西－甜城大道,近汉渝大道",93,15.9,2019,南北,普通住宅,中层(共29层),毛坯,有
48,英伦世家,3室2厅2卫,5106,"市中区－城西－内资路,汉渝大道",94,14.4,2013,南北,普通住宅,高层(共26层),毛坯,有
77.6,鸿通春天江与城,3室2厅2卫,9823,"东兴区－东兴－兰桂大道,近北环路",79,23.28,2015,南北,普通住宅,中层(共32层),精装修,有
89.8,西湖国际,3室2厅1卫,9145,"隆昌市－隆昌城区－环城南路,近万隆路",98.2,26.94,2015,东,普通住宅,中层(共32层),精装修,有
108,蜀隆首座,3室2厅2卫,9558,"隆昌市－隆昌城区－人民中路,近万隆路",113,32.4,2018,南,普通住宅,高层(共25层),精装修,有
53.6,莱菲特广场,3室2厅1卫,5900,隆昌市－隆昌城区－环城南路 ,90.8,16.08,2015,南北,普通住宅,中层(共31层),毛坯,有
79.8,海棠雅居,3室2厅2卫,9477,东兴区－月儿湾－大千路869号,84.2,23.94,2013,南北,普通住宅,中层(共25层),精装修,有
67.8,揽景苑,3室2厅2卫,6396,市中区－城西－新华路东2巷26号,106,20.34,2015,南北,普通住宅,高层(共28层),精装修,有
63.5,大千华庭,3室2厅1卫,7056,东兴区－新六中－天河街8号,90,19.05,2015,南北,普通住宅,中层(共32层),精装修,有
57.8,金科中央公园城,3室2厅1卫,6429,市中区－城西－内椑路,89.9,17.34,2014,南北,普通住宅,中层(共33层),精装修,有
56.8,城南1号东苑小区,3室2厅2卫,6375,资中县－资中城区－资州大道,89.1,17.04,2018,南北,普通住宅,高层(共21层),毛坯,有
63.8,长富名苑,3室2厅2卫,5361,市中区－市中周边－腾飞路12号,119,19.14,2008,南北,普通住宅,低层(共28层),精装修,有
79.8,北关新城和坊,3室2厅1卫,7748,隆昌市－隆昌城区－大北街121号,103,23.94,2012,南北,普通住宅,低层(共29层),精装修,有
75.8,北关新城和坊,3室2厅1卫,7431,隆昌市－隆昌城区－大北街121号,102,22.74,2012,南北,普通住宅,低层(共28层),精装修,有
58,精城峰阁,3室2厅1卫,5577,市中区－城西－新建村13号,104,17.4,2012,南,普通住宅,中层(共24层),简单装修,有
98.8,紫云府小区,3室2厅2卫,10186,隆昌市－隆昌城区－隆华西路,97,29.64,2019,南北,普通住宅,高层(共26层),豪华装修,有
55,华安金果园,3室2厅1卫,5729,市中区－城西－江宁街160号,96,16.5,2015,南北,普通住宅,高层(共28层),毛坯,有
46.8,英伦世家,3室2厅1卫,5032,"市中区－城西－内资路,汉渝大道",93,14.04,2012,南北,普通住宅,低层(共25层),毛坯,无
67.8,揽景苑,3室2厅2卫,6396,市中区－城西－新华路东2巷26号,106,20.34,2013,南,普通住宅,高层(共28层),精装修,有
61.8,江城花园,3室2厅2卫,6059,市中区－城西－江华街6号,102,18.54,2012,南北,普通住宅,低层(共26层),精装修,有
76.6,鸿通春天江与城,3室2厅2卫,7737,"东兴区－东兴－兰桂大道,近北环路",99,22.98,2018,南北,普通住宅,中层(共33层),豪华装修,有
76.8,花满庭,3室2厅2卫,7837,东兴区－新六中－汉安大道西380号,98,23.04,2010,南北,普通住宅,高层(共26层),精装修,有
86.6,隆城1号,3室2厅1卫,9730,"隆昌市－隆昌城区－人民中路,近中山路",89,25.98,2017,南北,普通住宅,高层(共29层),精装修,有
68.8,揽景苑,3室2厅2卫,6552,市中区－城西－新华路东2巷26号,105,20.64,2010,南北,普通住宅,高层(共26层),精装修,有
81.8,海棠雅居,3室2厅2卫,9295,东兴区－月儿湾－大千路869号,88,24.54,2015,南北,普通住宅,中层(共26层),精装修,有
78.8,银杏家园,3室2厅2卫,6678,东兴区－月儿湾－兴隆路380号,118,23.64,2013,南北,普通住宅,高层(共28层),精装修,有
98.6,紫云府小区,3室2厅2卫,10165,隆昌市－隆昌城区－隆华西路,97,29.58,2018,东,普通住宅,高层(共26层),精装修,有
74.8,雄飞国际新城,3室2厅2卫,6504,"威远县－威远城区－东风北路,近小河东路",115,22.44,2016,南北,普通住宅,低层(共28层),精装修,有
56,都英小区,3室2厅1卫,6364,隆昌市－隆昌城区－重庆路86号,88,16.8,2010,南北,普通住宅,低层(共26层),精装修,有
73.8,鸿通春天江与城,3室2厅1卫,7455,"东兴区－东兴－兰桂大道,近北环路",99,22.14,2016,南北,普通住宅,中层(共32层),精装修,有
56.8,船锦城南1号,3室2厅2卫,6375,资中县－资中城区－资州大道南二段36号,89.1,17.04,2015,南北,普通住宅,高层(共21层),毛坯,有
79.8,海棠雅居,3室2厅2卫,9500,东兴区－月儿湾－大千路869号,84,23.94,2013,南北,普通住宅,中层(共25层),精装修,有
57.8,金科集美天宸,3室2厅2卫,5505,"市中区－城西－甜城大道,近汉渝大道",105,17.34,2020,南北,普通住宅,中层(共33层),毛坯,有
65.8,甜城国际社区B区,3室2厅2卫,6388,市中区－城西－南鞍路,103,19.74,2019,南北,普通住宅,中层(共25层),精装修,有
69.8,邦泰国际公馆(西区),3室2厅1卫,9694,东兴区－新六中－北环路888号,72,20.94,2015,南北,普通住宅,中层(共28层),精装修,有
99.8,北关新城和坊,3室2厅2卫,8678,隆昌市－隆昌城区－大北街121号,115,29.94,2012,南北,普通住宅,高层(共18层),精装修,无
74.6,嘉和宽庭,3室2厅1卫,8198,隆昌市－隆昌城区－古宇路261号,91,22.38,2013,南,普通住宅,低层(共28层),精装修,有
63,荷香苑,3室2厅1卫,6225,市中区－城西－双苏路269号,101.2,18.9,2012,南北,普通住宅,中层(共33层),精装修,有
63.8,公园御景,3室2厅1卫,6577,市中区－城西－公园街458号,97,19.14,2012,南北,普通住宅,高层(共26层),豪华装修,有
55,汉安首座,3室2厅1卫,5914,市中区－城西－虹桥中路2号,93,16.5,2010,南北,普通住宅,低层(共28层),毛坯,有
53,都英小区,3室2厅1卫,5955,隆昌市－隆昌城区－重庆路86号,89,15.9,2014,南北,普通住宅,低层(共26层),精装修,有
79.8,北关新城和坊,3室2厅2卫,7748,隆昌市－隆昌城区－大北街121号,103,23.94,2014,南北,普通住宅,低层(共28层),精装修,无
68.8,西林盛景,3室2厅2卫,5733,东兴区－月儿湾－汉安大道376号,120,20.64,2009,南,普通住宅,低层(共26层),简单装修,有
64.8,财富国际,3室2厅2卫,7281,"资中县－资中城区－资州大道,近祥云街",89,19.44,2015,南北,普通住宅,低层(共29层),精装修,有
72.8,鸿通春天江与城,3室2厅1卫,9973,"东兴区－东兴－兰桂大道,近北环路",73,21.84,2017,南,普通住宅,中层(共32层),精装修,有
82.8,领地公馆,3室2厅1卫,9628,隆昌市－隆昌城区－隆华路118号,86,24.84,2017,东,普通住宅,中层(共26层),精装修,有
71.8,鸿通春天江与城,3室2厅1卫,9787,"东兴区－东兴－兰桂大道,近北环路",73.4,21.54,2015,南北,普通住宅,中层(共34层),精装修,有
57.8,上府国奥公馆,3室2厅2卫,5759,"资中县－资中城区－成渝上街,近321国道",100.4,17.34,2019,南北,普通住宅,高层(共26层),毛坯,有
89.8,领地公馆,3室2厅2卫,9453,隆昌市－隆昌城区－隆华路118号,95,26.94,2017,南北,普通住宅,中层(共26层),精装修,有
76.8,花满庭,3室2厅2卫,7918,东兴区－新六中－汉安大道西380号,97,23.04,2015,南北,普通住宅,高层(共26层),精装修,无
73.8,观岭国际社区,3室2厅1卫,7768,隆昌市－隆昌城区－环城南路三段415号,95,22.14,2016,南北,普通住宅,高层(共26层),精装修,有
86.6,嘉和宽庭,3室2厅2卫,8574,隆昌市－隆昌城区－古宇路261号,101,25.98,2016,南北,普通住宅,低层(共28层),精装修,有
76.8,鸿通春天江与城,3室2厅2卫,9722,"东兴区－东兴－兰桂大道,近北环路",79,23.04,2016,南北,普通住宅,中层(共30层),精装修,有
48.2,远达世纪城,3室2厅2卫,5122,资中县－资中城区－凤鸣路,94.1,14.46,2020,南北,普通住宅,低层(共26层),毛坯,有
85.8,嘉和宽庭,3室2厅2卫,8580,隆昌市－隆昌城区－古宇路261号,100,25.74,2016,南北,普通住宅,低层(共29层),精装修,有
56.8,甜城国际社区A区,3室2厅1卫,6382,市中区－城西－石羊大道北段,89,17.04,2018,南北,普通住宅,中层(共32层),毛坯,有
83.6,邦泰国际社区御峰,3室2厅1卫,9687,东兴区－三湾路－双凤路,86.3,25.08,2017,南北,普通住宅,中层(共32层),精装修,有
66,和都国际,3室2厅2卫,6226,东兴区－东兴周边－大千路北延线北环路889号,106,19.8,2017,南北,普通住宅,中层(共31层),毛坯,有
78.8,海棠雅居,3室2厅1卫,9381,东兴区－月儿湾－大千路869号,84,23.64,2013,南北,普通住宅,中层(共25层),精装修,有
62.8,船城首座,3室2厅1卫,7218,资中县－资中城区－滨江西路,87,18.84,2015,南北,普通住宅,中层(共29层),精装修,有
67.8,大盛现代城,3室2厅1卫,5697,市中区－城西－交通路559号,119,20.34,2006,南北,普通住宅,低层(共29层),精装修,有
86.6,嘉和宽庭,3室2厅1卫,8408,隆昌市－隆昌城区－古宇路261号,103,25.98,2016,南北,普通住宅,低层(共26层),精装修,有
73.6,观岭国际社区,3室2厅1卫,7747,隆昌市－隆昌城区－环城南路三段415号,95,22.08,2017,南,普通住宅,高层(共26层),精装修,有
56.8,金山晶座,3室2厅1卫,6396,资中县－资中城区－滨江西路236号,88.8,17.04,2012,南北,普通住宅,中层(共31层),毛坯,有
79.8,邦泰国际社区御峰,3室2厅1卫,9120,东兴区－三湾路－双凤路,87.5,23.94,2017,南北,普通住宅,低层(共28层),精装修,有
82.8,领地公馆,3室2厅1卫,9628,隆昌市－隆昌城区－隆华路118号,86,24.84,2018,南北,普通住宅,中层(共26层),精装修,有
57.8,凤凰城,3室2厅2卫,5898,"资中县－资中城区－321国道,近资州大道",98,17.34,2015,南北,普通住宅,中层(共33层),毛坯,有
57.8,凤凰城,3室2厅1卫,7101,"资中县－资中城区－321国道,近资州大道",81.4,17.34,2015,南北,普通住宅,中层(共33层),精装修,有
78.8,鸿通春天江与城,3室2厅2卫,10023,"东兴区－东兴－兰桂大道,近北环路",78.6,23.64,2015,南北,普通住宅,中层(共33层),精装修,有
61,江语丽府,3室2厅1卫,6158,资中县－资中城区－滨江东路399号,99.1,18.3,2014,南北,普通住宅,高层(共28层),毛坯,有
58.8,现代国际,3室2厅1卫,6189,资中县－资中城区－资州大道南一段46号,95,17.64,2013,南北,普通住宅,中层(共33层),毛坯,有
61.8,凤凰城,3室2厅1卫,6688,"资中县－资中城区－321国道,近资州大道",92.4,18.54,2014,南北,普通住宅,高层(共26层),精装修,有
52.8,现代国际,3室2厅2卫,5913,资中县－资中城区－资州大道南一段46号,89.3,15.84,2014,南北,普通住宅,高层(共29层),毛坯,有
73.8,中铁城市中心,3室2厅2卫,8208,"资中县－资中城区－资州大道,近春岚北路",89.9,22.14,2015,南北,普通住宅,中层(共30层),精装修,有
53.8,新华维港城,3室2厅2卫,5663,市中区－城西－石羊大道北段222号,95,16.14,2019,南北,普通住宅,中层(共25层),精装修,有
69.8,船城首座,3室2厅2卫,7822,资中县－资中城区－滨江西路,89.2,20.94,2017,南北,普通住宅,中层(共33层),毛坯,有
64.6,恒大锦城,3室2厅2卫,6396,资中县－资中城区－凤祥中路,101,19.38,2019,南,普通住宅,高层(共19层),精装修,有
48.6,和喜御南台,3室2厅2卫,5718,"资中县－资中城区－资州大道,近春岚北路",85,14.58,2018,南北,普通住宅,高层(共18层),毛坯,有
57.8,凤凰城,3室2厅1卫,7032,"资中县－资中城区－321国道,近资州大道",82.2,17.34,2013,南北,普通住宅,中层(共33层),精装修,有
79.8,观岭国际社区,3室2厅2卫,7389,隆昌市－隆昌城区－环城南路三段415号,108,23.94,2015,南北,普通住宅,低层(共26层),精装修,有
72.8,中铁城市中心,3室2厅2卫,7583,"资中县－资中城区－资州大道,近春岚北路",96,21.84,2015,南北,普通住宅,中层(共29层),精装修,有
62,凤凰城,3室2厅1卫,6739,"资中县－资中城区－321国道,近资州大道",92,18.6,2013,南北,普通住宅,中层(共26层),精装修,有
70,中铁城市中心,3室2厅2卫,6796,"资中县－资中城区－资州大道,近春岚北路",103,21,2017,南北,普通住宅,高层(共19层),毛坯,有
56.8,金科集美星辰,3室2厅2卫,6108,市中区－城西－汉安大道西段,93,17.04,2019,南北,普通住宅,高层(共26层),毛坯,有
63,江语丽府,3室2厅2卫,5917,资中县－资中城区－滨江东路399号,106.5,18.9,2015,南北,普通住宅,高层(共28层),毛坯,有
66.8,金山晶座,3室2厅1卫,7506,资中县－资中城区－滨江西路236号,89,20.04,2015,南北,普通住宅,中层(共29层),精装修,有
78.8,银杏家园,3室2厅2卫,6678,东兴区－月儿湾－兴隆路380号,118,23.64,2013,南北,普通住宅,高层(共28层),豪华装修,有
62.8,蓝色地中海,3室2厅1卫,7056,威远县－威远城区－罗家坝街,89,18.84,2016,南北,普通住宅,高层(共28层),精装修,有
63.8,雄飞国际新城,3室2厅1卫,6380,"威远县－威远城区－东风北路,近小河东路",100,19.14,2016,南北,普通住宅,低层(共28层),精装修,有
57.8,凤凰城,3室2厅1卫,7101,"资中县－资中城区－321国道,近资州大道",81.4,17.34,2013,南北,普通住宅,中层(共33层),精装修,有
56,昌建君悦府,3室2厅2卫,6022,市中区－城西－石羊大道北段,93,16.8,2018,南北,普通住宅,中层(共30层),毛坯,有
78.2,翡翠国际社区,3室2厅1卫,8937,东兴区－东兴－汉安大道西段927号,87.5,23.46,2014,南北,普通住宅,低层(共26层),精装修,有
57,凤凰城,3室2厅1卫,6951,"资中县－资中城区－321国道,近资州大道",82,17.1,2014,南,普通住宅,中层(共26层),精装修,有
72.8,西林盛景,3室2厅2卫,6222,东兴区－月儿湾－汉安大道376号,117,21.84,2012,南北,普通住宅,高层(共28层),精装修,有
